v0, k0, x, y, yaw, km, kf, sf
0.6,-0.4,3.5757,-3.154,-1.55,-0.124,-0.4835,5.221
0.6,-0.4,3.7906,-3.1727,-1.5439,-0.1005,-0.5223,5.331
0.6,-0.4,3.9928,-3.1887,-1.5567,-0.0791,-0.5636,5.4691
0.6,-0.4,4.2021,-3.1912,-1.5681,-0.0581,-0.608,5.6301
0.6,-0.4,4.3572,-3.146,-1.5468,-0.04,-0.6376,5.7944
0.6,-0.4,4.5517,-3.1499,-1.5605,-0.0234,-0.6518,5.8542
0.6,-0.4,4.7678,-3.1448,-1.5367,-0.0067,-0.6953,6.1231
0.6,-0.4,4.9564,-3.1478,-1.5459,0.0077,-0.7051,6.2121
0.6,-0.4,5.1839,-3.1216,-1.5066,0.0222,-0.7288,6.4359
0.6,-0.4,5.3848,-3.1967,-1.572,0.0352,-0.74,6.5758
0.6,-0.4,5.5831,-3.1801,-1.5668,0.0472,-0.7588,6.753
0.6,-0.4,5.7874,-3.1648,-1.5381,0.0587,-0.7534,6.8993
0.6,-0.4,5.9656,-3.1614,-1.5428,0.0684,-0.7684,7.0728
0.6,-0.4,-1.9908,-3.0149,-1.5417,-0.644,2.3333,6.4293
0.6,-0.4,-1.7133,-2.9965,-1.5678,-0.3123,-1.7005,24.2281
0.6,-0.4,-1.6284,-3.0666,-1.6133,-0.3228,-1.7498,24.0651
0.6,-0.4,-1.4592,-2.981,-1.5112,-0.3379,-1.7802,23.4795
0.6,-0.4,-1.2123,-3.0295,-1.5629,-0.364,-1.8453,22.8273
0.6,-0.4,-1.0404,-2.9655,-1.4923,-0.3785,-1.883,22.4345
0.6,-0.4,-0.8383,-2.9588,-1.4863,-0.4022,-1.9547,21.9375
0.6,-0.4,-0.5968,-3.0887,-1.5938,-0.4372,-2.0951,21.4853
0.6,-0.4,-0.422,-3.0962,-1.5633,-0.4661,-2.2058,20.9777
0.6,-0.4,-0.2595,-3.0689,-1.5534,-0.4952,-2.3049,20.5709
0.6,-0.4,0.2641,-2.9928,-1.5678,-0.7674,1.0956,3.9514
0.6,-0.4,0.3338,-3.0054,-1.5927,-0.7037,1.1526,4.0782
0.6,-0.4,0.6319,-2.9409,-1.5861,-0.672,0.9644,3.9646
0.6,-0.4,0.8085,-2.9686,-1.5537,-0.6474,0.6042,3.9019
0.6,-0.4,0.9427,-2.9878,-1.4821,-0.6175,0.6056,3.9065
0.6,-0.4,1.2536,-2.974,-1.5317,-0.5542,0.4829,3.9603
0.6,-0.4,1.3955,-3.0263,-1.5539,-0.5136,0.279,3.987
0.6,-0.4,1.539,-2.9885,-1.6277,-0.4731,0.0751,4.0137
0.6,-0.4,1.8014,-2.9419,-1.5433,-0.4302,0.2138,4.0669
0.6,-0.4,1.9915,-2.9575,-1.5371,-0.389,0.1024,4.1373
0.6,-0.4,2.2232,-2.9488,-1.5144,-0.3451,-0.0058,4.208
0.6,-0.4,2.3985,-2.9458,-1.522,-0.3087,-0.105,4.2881
0.6,-0.4,2.5736,-2.9351,-1.5258,-0.2696,-0.2129,4.4254
0.6,-0.4,2.7961,-2.9742,-1.5353,-0.2363,-0.2812,4.5038
0.6,-0.4,2.9832,-2.944,-1.5182,-0.2021,-0.37,4.678
0.6,-0.4,3.192,-2.9724,-1.5373,-0.173,-0.4195,4.7483
0.6,-0.4,3.389,-2.922,-1.501,-0.1447,-0.474,4.8831
0.6,-0.4,3.5722,-2.9513,-1.5351,-0.1193,-0.527,4.9923
0.6,-0.4,3.7879,-2.9629,-1.5249,-0.0933,-0.5824,5.1857
0.6,-0.4,3.9821,-2.9781,-1.5413,-0.071,-0.6236,5.3402
0.6,-0.4,4.1593,-3.0409,-1.4904,-0.0507,-0.6592,5.4661
0.6,-0.4,4.3992,-3.011,-1.4715,-0.033,-0.6801,5.605
0.6,-0.4,4.5616,-2.9927,-1.5839,-0.0148,-0.7145,5.7713
0.6,-0.4,4.7836,-2.9808,-1.546,0.0022,-0.7406,5.9867
0.6,-0.4,4.966,-2.9804,-1.5621,0.0168,-0.7472,6.0941
0.6,-0.4,5.1858,-2.9587,-1.5211,0.0313,-0.7556,6.2709
0.6,-0.4,5.3734,-2.9525,-1.5205,0.0438,-0.7895,6.4976
0.6,-0.4,5.5805,-3.0069,-1.5862,0.0555,-0.8015,6.6523
0.6,-0.4,5.7941,-2.9835,-1.5403,0.0669,-0.7961,6.819
0.6,-0.4,5.9708,-2.9756,-1.5452,0.0765,-0.8094,6.9917
0.6,-0.4,-2.0096,-2.8303,-1.607,-0.2856,-1.5606,24.8941
0.6,-0.4,-1.7911,-2.871,-1.6108,-0.3021,-1.6136,24.4565
0.6,-0.4,-1.5475,-2.813,-1.4817,-0.3197,-1.6639,23.8097
0.6,-0.4,-1.4599,-2.8647,-1.5568,-0.3306,-1.7079,23.7904
0.6,-0.4,-1.261,-2.8069,-1.5084,-0.347,-1.7267,23.1499
0.6,-0.4,-0.9884,-2.8336,-1.5509,-0.3818,-1.8516,22.4893
0.6,-0.4,-0.8336,-2.7746,-1.5082,-0.3887,-1.8317,22.1859
0.6,-0.4,-0.6665,-2.7845,-1.4881,-0.4134,-1.9091,21.6868
0.6,-0.4,-0.41,-2.7846,-1.5331,-0.4457,-1.9836,21.1771
0.6,-0.4,-0.2663,-2.7943,-1.4949,-0.4795,-2.1297,20.7398
0.6,-0.4,0.1355,-2.8351,-1.5258,-0.5685,-2.4438,19.6317
0.6,-0.4,0.469,-2.8077,-1.5169,-0.7977,1.4058,3.7752
0.6,-0.4,0.6677,-2.7549,-1.5721,-0.7301,0.8831,3.6989
0.6,-0.4,0.9368,-2.8367,-1.6022,-0.6402,0.5011,3.7575
0.6,-0.4,1.2329,-2.8362,-1.5497,-0.5809,0.5684,3.7565
0.6,-0.4,1.4029,-2.8014,-1.6157,-0.5348,0.408,3.8044
0.6,-0.4,1.5518,-2.8544,-1.5646,-0.4915,0.1515,3.8372
0.6,-0.4,1.7642,-2.7183,-1.5853,-0.4504,0.1552,3.8443
0.6,-0.4,1.9719,-2.7289,-1.5416,-0.403,0.0544,3.9151
0.6,-0.4,2.2421,-2.7814,-1.4881,-0.3486,-0.0426,4.0374
0.6,-0.4,2.4092,-2.7759,-1.4961,-0.3105,-0.1447,4.1224
0.6,-0.4,2.5814,-2.7592,-1.5031,-0.2736,-0.2413,4.2134
0.6,-0.4,2.7923,-2.7875,-1.5493,-0.2336,-0.3551,4.3436
0.6,-0.4,2.9975,-2.8203,-1.5659,-0.1984,-0.4304,4.4772
0.6,-0.4,3.1838,-2.799,-1.4766,-0.163,-0.5089,4.6432
0.6,-0.4,3.4,-2.7982,-1.5188,-0.1373,-0.5225,4.7154
0.6,-0.4,3.564,-2.7532,-1.5018,-0.1093,-0.6102,4.9082
0.6,-0.4,3.7719,-2.7588,-1.5045,-0.0843,-0.6496,5.0478
0.6,-0.4,3.9606,-2.7727,-1.5223,-0.0616,-0.6898,5.2098
0.6,-0.4,4.163,-2.7819,-1.5066,-0.041,-0.7594,5.3996
0.6,-0.4,4.3864,-2.8354,-1.5784,-0.0224,-0.7317,5.4996
0.6,-0.4,4.5489,-2.7659,-1.5444,-0.0042,-0.7806,5.7137
0.6,-0.4,4.7934,-2.8158,-1.5572,0.0115,-0.7839,5.8591
0.6,-0.4,4.9693,-2.8143,-1.578,0.0263,-0.7962,5.9937
0.6,-0.4,5.1479,-2.8033,-1.5968,0.0394,-0.8333,6.1841
0.6,-0.4,5.4054,-2.7567,-1.4881,0.0533,-0.8413,6.3571
0.6,-0.4,5.5652,-2.7705,-1.5097,0.0643,-0.8728,6.5692
0.6,-0.4,5.7868,-2.7918,-1.5642,0.0757,-0.8564,6.7624
0.6,-0.4,5.9824,-2.77,-1.5372,0.0868,-0.8439,6.9417
0.6,-0.4,-1.9996,-2.6504,-1.6114,-0.2808,-1.5109,25.1892
0.6,-0.4,-1.8204,-2.6156,-1.6305,-0.2828,-1.4819,25.2586
0.6,-0.4,-1.6063,-2.6861,-1.5899,-0.3086,-1.5812,24.3098
0.6,-0.4,-1.4223,-2.6808,-1.5797,-0.321,-1.5868,23.9035
0.6,-0.4,-1.2501,-2.6744,-1.5687,-0.3373,-1.6406,23.4822
0.6,-0.4,-1.0369,-2.5949,-1.5209,-0.3531,-1.6604,22.9667
0.6,-0.4,-0.856,-2.6015,-1.4823,-0.3747,-1.7213,22.4426
0.6,-0.4,-0.6725,-2.6633,-1.5424,-0.3981,-1.7896,21.9844
0.6,-0.4,-0.449,-2.5485,-1.49,-0.423,-1.8242,21.4496
0.6,-0.4,-0.2345,-2.5545,-1.4835,-0.4611,-1.9363,20.8696
0.6,-0.4,0.1398,-2.6393,-1.5161,-0.5439,-2.2035,19.6562
0.6,-0.4,0.6942,-2.5744,-1.5637,-0.7986,1.1855,3.4834
0.6,-0.4,0.7997,-2.565,-1.6308,-0.7405,0.9639,3.4396
0.6,-0.4,1.007,-2.5794,-1.5602,-0.6838,0.7135,3.4367
0.6,-0.4,1.2399,-2.5598,-1.5499,-0.6282,0.4224,3.4707
0.6,-0.4,1.4099,-2.5389,-1.4882,-0.5751,0.3826,3.4886
0.6,-0.4,1.5238,-2.5785,-1.5272,-0.5327,0.1615,3.5217
0.6,-0.4,1.7924,-2.5627,-1.5512,-0.4599,0.1214,3.6595
0.6,-0.4,1.9804,-2.582,-1.4665,-0.4129,-0.0395,3.7013
0.6,-0.4,2.1775,-2.5398,-1.5846,-0.3594,-0.1778,3.8095
0.6,-0.4,2.3912,-2.5978,-1.5501,-0.3121,-0.2508,3.9291
0.6,-0.4,2.5755,-2.5643,-1.5591,-0.2701,-0.3573,4.0151
0.6,-0.4,2.7991,-2.5923,-1.5456,-0.2278,-0.4278,4.1541
0.6,-0.4,2.9959,-2.6221,-1.5667,-0.1915,-0.5034,4.2983
0.6,-0.4,3.2055,-2.6338,-1.5861,-0.157,-0.5686,4.4298
0.6,-0.4,3.3902,-2.579,-1.5421,-0.127,-0.6381,4.6183
0.6,-0.4,3.582,-2.6235,-1.4913,-0.0994,-0.6891,4.7572
0.6,-0.4,3.7928,-2.5902,-1.5527,-0.0733,-0.7168,4.903
0.6,-0.4,3.9963,-2.6182,-1.4912,-0.0516,-0.7641,5.0707
0.6,-0.4,4.1641,-2.6392,-1.5238,-0.0294,-0.8171,5.2564
0.6,-0.4,4.4108,-2.5919,-1.4717,-0.0107,-0.8086,5.3818
0.6,-0.4,4.5739,-2.6117,-1.5008,0.0068,-0.8523,5.578
0.6,-0.4,4.7886,-2.6333,-1.6013,0.023,-0.8575,5.7563
0.6,-0.4,4.9675,-2.5812,-1.4779,0.0369,-0.8673,5.8717
0.6,-0.4,5.1912,-2.5914,-1.5539,0.0522,-0.8655,6.0821
0.6,-0.4,5.4064,-2.5905,-1.4746,0.0639,-0.8799,6.2558
0.6,-0.4,5.5664,-2.5992,-1.4939,0.0749,-0.9113,6.4679
0.6,-0.4,5.7921,-2.5929,-1.5523,0.0853,-0.9193,6.7015
0.6,-0.4,5.9756,-2.5731,-1.5378,0.0951,-0.921,6.8867
0.6,-0.4,-1.7926,-2.4753,-1.618,-0.2844,-1.46,25.0523
0.6,-0.4,-1.5984,-2.409,-1.5949,-0.2955,-1.4725,24.7407
0.6,-0.4,-1.4105,-2.4924,-1.5853,-0.3105,-1.5069,24.2084
0.6,-0.4,-1.2278,-2.4757,-1.5707,-0.3243,-1.532,23.7848
0.6,-0.4,-1.0336,-2.4877,-1.5396,-0.344,-1.5999,23.4224
0.6,-0.4,-0.798,-2.398,-1.5545,-0.3584,-1.5779,22.8859
0.6,-0.4,-0.6285,-2.4,-1.5433,-0.3786,-1.6189,22.4379
0.6,-0.4,-0.4452,-2.3898,-1.518,-0.4061,-1.6974,21.8729
0.6,-0.4,-0.2197,-2.4015,-1.5306,-0.4351,-1.7493,21.2516
0.6,-0.4,0.1743,-2.486,-1.5827,-0.5223,-1.9715,19.9349
0.6,-0.4,0.663,-2.4,-1.635,-1.2663,2.4017,3.1602
0.6,-0.4,0.8816,-2.3991,-1.5051,-0.8084,1.059,3.21
0.6,-0.4,1.0551,-2.3759,-1.5479,-0.7112,0.7953,3.2648
0.6,-0.4,1.2735,-2.4223,-1.5023,-0.6457,0.4824,3.2991
0.6,-0.4,1.4054,-2.4578,-1.5573,-0.5892,0.1876,3.3432
